Date,Regime,AccelZ,DivZ,SignalStrength
2020-10-05,FRAGILE_ACCEL,1.2263,0.3096,1.2263
2020-10-06,STABLE,0.0095,0.1693,0.1693
2020-10-07,STABLE,0.555,0.0,0.555
2020-10-08,FRAGILE_DIV,0.4529,5.363,5.363
2020-10-09,FRAGILE_DIV,0.0,1.5431,1.5431
2020-10-12,STABLE,0.0,0.7698,0.7698
2020-10-13,STABLE,0.0,0.0,0.0
2020-10-14,FRAGILE_ACCEL,1.8598,0.0,1.8598
2020-10-15,STABLE,0.0,0.0,0.0
2020-10-16,FRAGILE_DIV,0.0,3.2608,3.2608
2020-10-19,STABLE,0.8149,0.329,0.8149
2020-10-20,STABLE,0.0,0.4369,0.4369
2020-10-21,STABLE,0.7635,0.7818,0.7818
2020-10-22,STABLE,0.2425,0.0,0.2425
2020-10-26,STABLE,0.0,0.0,0.0
2020-10-27,STABLE,0.0,0.0,0.0
2020-10-28,STABLE,0.0,0.0,0.0
2020-10-29,FRAGILE_BOTH,1.7575,1.7653,1.7653
2020-10-30,FRAGILE_BOTH,1.5708,1.6902,1.6902
2020-11-02,STABLE,0.2624,0.0,0.2624
2020-11-03,STABLE,0.0,0.0,0.0
2020-11-04,STABLE,0.0,0.0,0.0
2020-11-05,FRAGILE_DIV,0.0,1.5214,1.5214
2020-11-06,STABLE,0.0,0.8217,0.8217
2020-11-09,FRAGILE_DIV,0.0,1.3725,1.3725
2020-11-10,FRAGILE_DIV,0.0,3.7095,3.7095
2020-11-11,FRAGILE_DIV,0.0,1.3951,1.3951
2020-11-12,STABLE,0.2908,0.0,0.2908
2020-11-13,FRAGILE_BOTH,1.6884,5.1169,5.1169
2020-11-16,STABLE,0.0,0.0,0.0
2020-11-17,FRAGILE_DIV,0.0,1.151,1.151
2020-11-18,FRAGILE_DIV,0.0,2.644,2.644
2020-11-19,STABLE,0.0,0.29,0.29
2020-11-20,STABLE,0.0,0.3023,0.3023
2020-11-23,STABLE,0.0,0.0,0.0
2020-11-24,STABLE,0.0,0.9865,0.9865
2020-11-25,FRAGILE_BOTH,1.9183,5.2965,5.2965
2020-11-26,STABLE,0.0,0.0,0.0
2020-11-27,FRAGILE_BOTH,1.4928,1.0951,1.4928
2020-11-30,FRAGILE_DIV,0.0,3.3419,3.3419
2020-12-01,FRAGILE_BOTH,1.1122,3.2957,3.2957
2020-12-02,STABLE,0.4421,0.5223,0.5223
2020-12-03,STABLE,0.2584,0.4595,0.4595
2020-12-04,STABLE,0.0,0.7434,0.7434
2020-12-07,FRAGILE_BOTH,2.7008,2.7008,2.7008
2020-12-08,FRAGILE_BOTH,1.9874,1.0319,1.9874
2020-12-09,FRAGILE_BOTH,1.9506,5.493,5.493
2020-12-10,STABLE,0.0153,0.0,0.0153
2020-12-11,STABLE,0.0,0.5017,0.5017
2020-12-14,FRAGILE_DIV,0.0,3.8578,3.8578
2020-12-15,STABLE,0.0,0.0658,0.0658
2020-12-16,FRAGILE_DIV,0.3758,2.6902,2.6902
2020-12-17,FRAGILE_DIV,0.0,3.7414,3.7414
2020-12-18,STABLE,0.0,0.0,0.0
2020-12-21,STABLE,0.7694,0.087,0.7694
2020-12-22,STABLE,0.0,0.2487,0.2487
2020-12-23,STABLE,0.0,0.7696,0.7696
2020-12-24,FRAGILE_BOTH,4.4322,2.1967,4.4322
2020-12-28,FRAGILE_BOTH,1.6284,4.1284,4.1284
2020-12-29,FRAGILE_DIV,0.208,8.2786,8.2786
2020-12-30,FRAGILE_DIV,0.0,3.5717,3.5717
2020-12-31,FRAGILE_BOTH,1.1726,1.6741,1.6741
2021-01-04,STABLE,0.0,0.0,0.0
2021-01-05,FRAGILE_ACCEL,1.9748,0.0,1.9748
2021-01-06,STABLE,0.0,0.0,0.0
2021-01-07,FRAGILE_DIV,0.0,2.6761,2.6761
2021-01-08,FRAGILE_DIV,0.6279,1.6147,1.6147
2021-01-11,FRAGILE_ACCEL,2.3869,0.0,2.3869
2021-01-12,FRAGILE_DIV,0.6155,1.3047,1.3047
2021-01-13,FRAGILE_DIV,0.0,2.8695,2.8695
2021-01-14,STABLE,0.0,0.4449,0.4449
2021-01-15,STABLE,0.0,0.0,0.0
2021-01-18,STABLE,0.6586,0.0,0.6586
2021-01-19,FRAGILE_BOTH,5.225,2.8513,5.225
2021-01-20,STABLE,0.0,0.5808,0.5808
2021-01-21,STABLE,0.8787,0.0,0.8787
2021-01-22,FRAGILE_DIV,0.0,1.2021,1.2021
2021-01-25,STABLE,0.0,0.3859,0.3859
2021-01-26,STABLE,0.4603,0.0,0.4603
2021-01-27,FRAGILE_BOTH,1.8596,1.0989,1.8596
2021-01-28,STABLE,0.0,0.7564,0.7564
2021-01-29,STABLE,0.0,0.8451,0.8451
2021-02-01,STABLE,0.0,0.9263,0.9263
2021-02-02,STABLE,0.1448,0.0,0.1448
2021-02-03,STABLE,0.0,0.951,0.951
2021-02-04,STABLE,0.0,0.0145,0.0145
2021-02-05,FRAGILE_DIV,0.0,1.6048,1.6048
2021-02-08,FRAGILE_BOTH,1.7166,1.9748,1.9748
2021-02-09,STABLE,0.0,0.8181,0.8181
2021-02-10,STABLE,0.056,0.0,0.056
2021-02-11,FRAGILE_ACCEL,1.7886,0.2771,1.7886
2021-02-12,STABLE,0.0,0.0,0.0
2021-02-15,FRAGILE_DIV,0.0,2.7842,2.7842
2021-02-16,FRAGILE_DIV,0.0,2.7349,2.7349
2021-02-17,STABLE,0.0,0.3279,0.3279
2021-02-18,FRAGILE_DIV,0.0,1.5195,1.5195
2021-02-19,FRAGILE_DIV,0.0,1.3628,1.3628
2021-02-22,FRAGILE_DIV,0.0496,2.2784,2.2784
2021-02-23,STABLE,0.0,0.0,0.0
